ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   21
   253  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   254  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   255  IFO197      *** MNOTE ***
   257  IFO078      UNDEFINED OP CODE
   258  IFO078      UNDEFINED OP CODE
   261  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   264  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   265  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   266  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   267  IFO197      *** MNOTE ***
   269  IFO078      UNDEFINED OP CODE
   270  IFO078      UNDEFINED OP CODE
   273  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   276  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   277  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   278  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   279  IFO197      *** MNOTE ***
   281  IFO078      UNDEFINED OP CODE
   282  IFO078      UNDEFINED OP CODE
   285  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   288  IFO197      *** MNOTE ***
   290  IFO078      UNDEFINED OP CODE
   291  IFO078      UNDEFINED OP CODE
   294  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   297  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   298  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   299  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   300  IFO197      *** MNOTE ***
   302  IFO078      UNDEFINED OP CODE
   303  IFO078      UNDEFINED OP CODE
   306  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   309  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   310  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   311  IFO197      *** MNOTE ***
   313  IFO078      UNDEFINED OP CODE
   314  IFO078      UNDEFINED OP CODE
   317  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   320  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   321  IFO197      *** MNOTE ***
   323  IFO078      UNDEFINED OP CODE
   324  IFO078      UNDEFINED OP CODE
   327  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   330  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   331  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   332  IFO197      *** MNOTE ***
   334  IFO078      UNDEFINED OP CODE
1                                                  ASSEMBLER DIAGNOSTICS AND STATISTICS                         PAGE   26
-STMT  ERROR CODE   MESSAGE                                                                       ASM 0201 06.35 09/07/26
0  335  IFO078      UNDEFINED OP CODE
   336  IFO078      UNDEFINED OP CODE
   339  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   342  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   343  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   344  IFO197      *** MNOTE ***
   346  IFO078      UNDEFINED OP CODE
   347  IFO078      UNDEFINED OP CODE
   348  IFO078      UNDEFINED OP CODE
   351  IFO209      ADDRESSABILITY ERROR- BASE AND DISPLACEMENT CANNOT BE RESOLVED AND ARE SET TO 0
   354  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 5
   355  IFO236      ILLEGAL CHARACTER IN EXPRESSION NEAR OPERAND COLUMN 3
   356  IFO197      *** MNOTE ***
   358  IFO078      UNDEFINED OP CODE
   359  IFO078      UNDEFINED OP CODE
   360  IFO078      UNDEFINED OP CODE
