module	dlib	state	tk5_rmid	ce_rmid	bytes_tk5	bytes_ce	bytes_equal	v_tk5	v_ce	sect_tk5	sect_ce	diff_tk5	diff_ce	len_tk5	len_ce
IDCPM01	AOSU0	same	UZ51920	UZ51920	2801	2801	Y	differs	differs	1	1	0	0	Y	Y
IDCPR01	AOSU0	rmid-differs	UZ62122	UZ51920	4713	4665	N	differs	differs	1	1	0	0	Y	Y
IDCRC01	AOSU0	rmid-differs	UZ74456	UZ57196	14917	14573	N	differs	differs	1	1	0	0	Y	Y
IDCRC02	AOSU0	rmid-differs	UZ65649	UZ57772	13801	13709	N	differs	differs	1	1	0	0	Y	Y
IDCRC03	AOSU0	same	EDM1102	EDM1102	1085	1085	Y	differs	differs	1	1	5	5	N	N
IDCRD01	AOSU0	same	EMS1102	EMS1102	2969	2969	Y	differs	differs	1	1	4	4	N	N
IDCRD02	AOSU0	same	EMS1102	EMS1102	6709	6709	Y	identical	identical	1	1	0	0	N	N
IDCRD03	AOSU0	rmid-differs	UY28452	UZ22893	7213	7190	N	differs	differs	1	1	0	2318	Y	N
IDCRD04	AOSU0	same	UZ36046	UZ36046	7137	7137	Y	differs	differs	1	1	0	0	Y	Y
IDCRD05	AOSU0	same	UZ29300	UZ29300	12450	12450	Y	differs	differs	1	1	0	0	Y	Y
IDCRD06	AOSU0	rmid-differs	UZ38932	EMS1102	15098	15241	N	differs	identical	1	1	0	0	Y	N
IDCRD07	AOSU0	same	UZ55451	UZ55451	18173	18173	Y	differs	differs	1	1	0	0	Y	Y
IDCRI01	AOSU0	rmid-differs	UZ64205	UZ34269	22941	22925	N	differs	differs	1	1	0	0	Y	Y
IDCRI02	AOSU0	same	EDM1102	EDM1102	2185	2185	Y	identical	identical	1	1	0	0	N	N
IDCRI03	AOSU0	same	EDM1102	EDM1102	1817	1817	Y	differs	differs	1	1	4	4	N	N
IDCRI04	AOSU0	rmid-differs	UZ76315	UZ31563	15917	15909	N	differs	differs	13	13	0	0	Y	Y
IDCRIFF	AOSU0	same	EDM1102	EDM1102	362	362	Y	identical	identical	1	1	0	0	N	N
IDCRIKT	AOSU0	same	EDM1102	EDM1102	429	429	Y	identical	identical	1	1	0	0	N	N
IDCRILT	AOSU0	same	EDM1102	EDM1102	834	834	Y	identical	identical	1	1	0	0	N	N
IDCRIMT	AOSU0	same	EMS1102	EMS1102	1058	1058	Y	identical	identical	1	1	0	0	N	N
IDCRL01	AOSU0	same	EMS1102	EMS1102	3641	3641	Y	identical	identical	1	1	0	0	N	N
IDCRM01	AOSU0	same	UZ52407	UZ52407	28981	28981	Y	differs	differs	1	1	0	0	Y	Y
IDCRP01	AOSU0	rmid-differs	UZ50178	UZ51920	12813	12629	N	differs	differs	1	1	0	0	Y	Y
IDCRR01	AOSU0	same	UZ22209	UZ22209	5042	5042	Y	differs	differs	1	1	0	0	Y	Y
IDCRS01	AOSU0	rmid-differs	UZ74312	UZ56650	18898	18898	N	differs	differs	1	1	0	0	Y	Y
IDCRS02	AOSU0	rmid-differs	UZ74312	UZ56650	18138	18138	N	differs	differs	1	1	81	80	N	N
