module	dlib	verdict	sections	diff_bytes	length_differs	diff_in_holes	diff_in_text
HMASMULK	AOS12	differs	1	613	N	0	613
HMASMUPD	AOS12	differs	1	2475	N	1	2474
HMASMUXC	AOS12	differs	1	668	N	0	668
HMASMUXD	AOS12	identical	1	0	N	0	0
HMASMVLU	AOS12	differs	1	25	N	0	25
HMASMXRF	AOS12	differs	1	319	N	0	319
HMASMZAP	AOS12	differs	1	289	N	3	286
HMBLKMSG	AOS12	identical	1	0	N	0	0
IAPABNAP	AOSU0	identical	1	0	N	0	0
IAPBLDIO	AOSU0	identical	1	0	N	0	0
IAPPFXAP	AOSU0	identical	1	0	N	0	0
IAPTIMER	AOSU0	identical	1	0	N	0	0
