module	kreiss_verdict	ibm_verdict
ISTAPC38	mixed	mixed
ISTAPC51	length	length
ISTAPC54	length	length
ISTAPC55	mixed	mixed
ISTAPC59	mixed	mixed
ISTAPC62	length	length
ISTAPC66	length	length
ISTAPC83	length	length
ISTAPC84	length	length
ISTATM10	length	length
ISTCFCPC	mixed	mixed
ISTCFCR1	length	length
ISTCFCR2	text	text
ISTCFCS1	length	length
ISTCFCS2	length	length
ISTCFF3D	text	text
ISTCFMTM	length	length
ISTCSCAC	length	length
ISTCSCAQ	length	length
ISTCSCLG	length	length
ISTCSCMR	length	unpaired
ISTCSCPS	mixed	mixed
ISTCSCRL	length	length
ISTDCC00	length	length
ISTDCC02	length	length
ISTDCC11	length	length
ISTDCC21	length	length
ISTDCC25	length	length
ISTDCC30	mixed	mixed
ISTDCC35	length	length
ISTDCC40	length	length
ISTDCC50	length	length
ISTDCC51	length	length
ISTDCC60	mixed	mixed
ISTDCC61	length	length
ISTDCC80	length	length
ISTDCC81	length	length
ISTIC000	length	length
ISTIC002	length	length
ISTINC05	length	length
ISTINC32	mixed	mixed
ISTINCBL	text	text
ISTINCD4	length	length
ISTINCD5	length	length
ISTINCDP	length	length
ISTINCFS	length	length
ISTINCL1	length	length
ISTINCL3	length	length
ISTINCMD	mixed	mixed
ISTINCMS	length	length
ISTINCMY	length	length
ISTINCNS	length	length
ISTINCOQ	length	length
ISTINCQE	length	length
ISTINCR4	length	length
ISTINCR6	length	length
ISTINCRD	length	length
ISTINCRP	length	length
ISTINCST	length	length
ISTINCTR	length	length
ISTINCU6	text	text
ISTINCV5	mixed	mixed
ISTINCVA	length	length
ISTINCVO	length	length
ISTINCVP	length	length
ISTINCX1	length	length
ISTINCX8	length	length
ISTINCXR	length	length
ISTINCY0	length	length
ISTINCY5	length	length
ISTINFXI	length	length
ISTINMN8	mixed	mixed
ISTNMC3S	length	length
ISTNMC7S	length	length
ISTNMC9P	mixed	mixed
ISTOCCCB	length	length
ISTOCCCH	length	length
ISTOCCFB	length	length
ISTOCCFD	mixed	mixed
ISTOCCFR	length	length
ISTOCCOD	length	length
ISTOCCOE	length	length
ISTOCCOF	mixed	mixed
ISTOCCRT	length	length
ISTOCCSD	text	length
ISTOCMDC	length	length
ISTORFBA	text	text
ISTORFBD	length	length
ISTORFBF	mixed	mixed
ISTORFBQ	text	text
ISTORFPR	length	length
ISTORFSR	text	text
ISTORMMG	length	length
ISTRACTL	length	length
ISTRAFTP	length	length
ISTRAMA1	length	length
ISTRCC30	length	length
ISTRCC51	length	length
ISTRCC52	length	length
ISTRCFY0	mixed	mixed
ISTSC027	mixed	mixed
ISTSC030	length	length
ISTSC032	length	length
ISTSC034	length	length
ISTSDCAP	length	length
ISTSDCBU	length	length
ISTSDCC2	length	length
ISTSDCCB	length	length
ISTSDCCL	length	length
ISTSDCGE	length	length
ISTSDCGP	length	length
ISTSDCLM	length	length
ISTSDCLN	length	length
ISTSDCML	length	length
ISTSDCMT	length	length
ISTSDCP4	length	length
ISTSDCPU	length	length
ISTSDCRN	length	length
ISTSDCRS	length	length
ISTSDCSS	length	length
ISTSDCVB	length	length
ISTSEC10	length	length
ISTSQC00	length	length
ISTSQC0B	length	length
ISTSTC00	length	length
ISTZBF0A	length	length
ISTZBFBB	length	length
ISTZBFFA	length	length
ISTZBFFB	length	length
ISTZBFIF	length	length
ISTZBFOB	length	length
ISTZBFSC	length	length
ISTZBFY0	length	length
ISTZBFZ0	length	length
ISTZBM0J	mixed	mixed
ISTZBM0K	length	length
ISTZCF1A	length	length
ISTZCF1B	text	text
ISTZCFBI	length	length
ISTZDFC0	length	length
ISTZDFD0	length	length
ISTZDFJ0	length	length
ISTZDFKA	mixed	mixed
ISTZDFKB	length	length
ISTZDFPR	length	length
ISTZDMMB	length	length
ISTZEFBA	mixed	mixed
ISTZEMAA	mixed	mixed
ISTZEMAB	length	length
ISTZEMBB	length	length
ISTZEMEA	mixed	mixed
ISTZEMTA	length	length
ISTZFFEA	mixed	mixed
ISTZFM0A	length	length
ISTZFM0B	text	text
ISTZFM1B	length	length
ISTZFM3B	length	length
ISTZFMAB	text	mixed
ISTZFMEB	length	length
ISTZFMFA	text	text
ISTZGF0B	mixed	mixed
ISTZGFBB	length	length
ISTZIF0B	length	length
ISTZIF1B	length	length
ISTZIFAB	length	length
ISTZIFBB	length	length
ISTZIFCB	length	length
ISTZIFDB	length	length
ISTZIFKB	length	length
ISTZIFLB	length	length
ISTZIFMB	length	length
ISTZIFNA	mixed	mixed
ISTZIFNB	length	length
ISTZIFOA	text	text
ISTZIFSC	mixed	mixed
ISTZIFSG	length	length
ISTZIFWB	length	length
