module	as370_rc	as370_flagged	as370_severity	as370_messages	ifox_rc	ifox_flagged	ifox_severity	ifox_messages	tool	first_diff	len_ifox	len_as370	dlib	signal
IFNX5P	8	2	8	Undefined symbol	0000				bytes	0x0005d	2344	2321	length	as370 alone flags
IFOX0D	8	2	8	Undefined symbol	0008				bytes	0x000a1	3577	3554	length	both flag
IGC0B10D	8	1	8	IFO117 first expression in substring notation exceeds the length of the string	0008				identical				length	both flag
IGC0E05A	8	1	8	Undefined symbol	0000				bytes	0x0069b	5004	5004	length	as370 alone flags
IGCA110D	8	1	8	IFO117 first expression in substring notation exceeds the length of the string	0008				identical				length	both flag
IGCA810D	8	1	8	IFO117 first expression in substring notation exceeds the length of the string	0008				identical				length	both flag
IGCAF10D	8	1	8	IFO117 first expression in substring notation exceeds the length of the string	0008				identical				mixed	both flag
IGCDB10D	8	1	8	IFO117 first expression in substring notation exceeds the length of the string	0008				identical				length	both flag
IGCDD10D	8	1	8	IFO117 first expression in substring notation exceeds the length of the string	0008				identical				length	both flag
IGCFC10D	8	1	8	IFO117 first expression in substring notation exceeds the length of the string	0008				identical				length	both flag
IGCFE10D	8	1	8	IFO117 first expression in substring notation exceeds the length of the string	0008				identical				length	both flag
IGCFH10D	8	1	8	IFO117 first expression in substring notation exceeds the length of the string	0008				identical				length	both flag
IGCME10D	8	1	8	IFO117 first expression in substring notation exceeds the length of the string	0008				identical				length	both flag
IGCML10D	8	1	8	IFO117 first expression in substring notation exceeds the length of the string	0008				identical				length	both flag
IGCN410D	8	1	8	IFO117 first expression in substring notation exceeds the length of the string	0008				bytes	0x00133	2048	2048	mixed	both flag
IGCSW10D	8	1	8	IFO117 first expression in substring notation exceeds the length of the string	0008				cards				length	both flag
IGCVA10D	8	1	8	IFO117 first expression in substring notation exceeds the length of the string	0008				identical				length	both flag
IGCZ010D	8	1	8	IFO117 first expression in substring notation exceeds the length of the string	0008				identical				length	both flag
IGE0004G	8	1	8	IFO117 first expression in substring notation exceeds the length of the string	0008				bytes	0x00026	1392	1384	length	both flag
IGE0004I	8	1	8	IFO117 first expression in substring notation exceeds the length of the string	0008				identical				length	both flag
IGE0204G	8	1	8	IFO117 first expression in substring notation exceeds the length of the string	0008				identical				length	both flag
IGE0304G	8	1	8	IFO117 first expression in substring notation exceeds the length of the string	0008				identical				length	both flag
