module	as370_rc	ifox_rc	tool	tool_restamped	dlib
ISTNMC9P	0	0000	identical		mixed
ISTNMCCA	0	0000	identical		identical
ISTNMCCB	0	0000	identical		identical
ISTNMCCF	0	0000	identical		holes
ISTNMCCI	0	0000	identical		identical
ISTNMCCO	0	0000	identical		holes
ISTNMCCR	0	0000	identical		identical
ISTNMCCS	0	0000	identical		holes
ISTNMCCT	0	0000	identical		holes
ISTNMCCZ	0	0000	identical		identical
ISTNSC00	8	0000	cards		length
ISTOCCCA	0	0000	identical		mixed
ISTOCCCB	0	0000	identical		length
ISTOCCCC	0	0000	bytes	bytes	length
ISTOCCCH	0	0000	identical		length
ISTOCCCL	0	0000	bytes	bytes	length
ISTOCCCM	0	0000	identical		identical
ISTOCCCN	0	0000	identical		identical
ISTOCCDF	0	0000	identical		holes
ISTOCCFB	0	0000	identical		length
ISTOCCFD	0	0000	identical		mixed
ISTOCCFO	0	0000	identical		identical
ISTOCCFR	0	0000	identical		length
ISTOCCLD	0	0000	identical		identical
ISTOCCMD	0	0000	identical		identical
ISTOCCNV	0	0000	identical		identical
ISTOCCOA	0	0000	bytes	bytes	mixed
ISTOCCOB	0	0000	bytes	bytes	length
ISTOCCOC	0	0000	identical		identical
ISTOCCOD	0	0000	identical		length
ISTOCCOE	0	0000	identical		length
ISTOCCOF	0	0000	identical		mixed
ISTOCCQU	0	0000	identical		identical
ISTOCCRD	0	0000	identical		identical
ISTOCCRL	0	0000	identical		holes
ISTOCCRT	0	0000	identical		length
ISTOCCSA	0	0000	identical		identical
ISTOCCSD	0	0000	identical		text
ISTOCCSL	0	0000	identical		text
ISTOCCUR	0	0000	identical		identical
ISTOCFCX	0	0000	identical		identical
ISTOCMDC	0	0000	identical		length
ISTORFBA	0	0000	identical		text
ISTORFBD	0	0000	identical		length
ISTORFBF	0	0000	identical		mixed
ISTORFBQ	0	0000	identical		text
ISTORFID	0	0000	identical		mixed
ISTORFPO	0	0000	identical		identical
ISTORFPR	0	0000	identical		length
ISTORFRA	0	0000	identical		identical
ISTORFSR	0	0000	identical		text
ISTORMMG	0	0000	identical		length
ISTORMRL	0	0000	identical		identical
ISTPATCH	0	0000	identical		identical
ISTRACCA	0	0000	identical		holes
ISTRACCR	0	0000	identical		holes
ISTRACTB	0	0000	identical		holes
ISTRACTL	0	0000	identical		length
ISTRAFD1	0	0000	identical		no-pair
ISTRAFTP	0	0000	identical		length
ISTRAMA1	0	0000	identical		length
ISTRAMA2	0	0000	cards		length
ISTRAMA3	0	0000	bytes	bytes	length
ISTRAMA4	0	0000	bytes	bytes	length
ISTRCC21	0	0000	identical		identical
ISTRCC22	0	0000	identical		identical
ISTRCC23	0	0000	identical		identical
ISTRCC26	0	0000	identical		identical
ISTRCC30	0	0000	identical		length
ISTRCC51	0	0000	identical		length
ISTRCC52	0	0000	identical		length
