module	as370_rc	as370_flagged	as370_severity	as370_messages	ifox_rc	ifox_flagged	ifox_severity	ifox_messages	tool	first_diff	len_ifox	len_as370	dlib	signal	owner	excluded
AHLSETD	0				0000				identical				mixed		source	
AHLSETEV	4	2	4	IFO026 Continuation card is empty - nothing between the continue column and 71	0004	8	4	IFO026 CHARACTERS APPEAR BETWEEN THE BEGIN AND CONTINUE COLUMNS ON CONTINUATION CARD	identical				length		source	
AHLSETMG	0				0000				identical				holes		source	
AHLT103	0				0000				identical				length		source	
AHLTCTL1	0				0000				identical				identical		source	
AHLTCTL2	0				0000				identical				identical		source	
AHLTDIR	0				0000				identical				length		source	
AHLTEXT	0				0000				identical				mixed		source	
AHLTFOR	0				0000				identical				identical		source	
AHLTMMSG	0				0000				identical				holes		source	
AHLTMON	0				0000				identical				length		source	
AHLTPID	0				0000				identical				length		source	
AHLTPMT	0				0000				identical				length		source	
AHLTSCN	0				0000				identical				length		source	
AHLTSIO	0				0000				identical				length		source	
AHLTSLIP	0				0000				identical				length		source	
AHLTSVC	0				0000				identical				length		source	
AHLTSYFL	0				0000				identical				mixed		source	
AHLTSYSM	0				0000				identical				length		source	
AHLTTAB	0				0000				identical				holes		source	
AHLTUSR	0				0000				identical				length		source	
AHLTVTAM	0				0000				identical				identical		source	
AHLTXSYS	0				0000				identical				identical		source	
AHLVCOFF	0				0000				identical				mixed		source	
AHLVCON	0				0000				identical				length		source	
AHLWRMSG	0				0000				identical				holes		source	
AHLWTASK	0				0000				identical				length		source	
AHLWTMSG	0				0000				identical				holes		source	
AHLWTO	0				0000				identical				length		source	
AHLWWRIT	0				0000				identical				length		source	
AKJLKL01	0				0000				identical				no-pair		source	
AKJLKL02	0				0000				identical				no-pair		source	
AKJLKMSG	0				0000				identical				no-pair		source	
AMAPTF01	0				0000				identical				holes		source	
AMAPTF02	0				0000				identical				holes		source	
AMAPTFLE	0				0000				identical				holes		source	
AMASPZAP	0				0000				identical				identical		source	
AMDPRAPP	0				0000				identical				length		source	
AMDPRCOM	0				0000				identical				length		source	
AMDPRCTL	0				0000				identical				length		source	
AMDPRCVT	0				0000				identical				length		source	
AMDPRDPS	0				0000				identical				length		source	
AMDPREAD	0				0000				identical				length		source	
AMDPRECT	0				0000				identical				identical		source	
AMDPREID	0				0000				identical				identical		source	
AMDPREXT	0				0000				identical				holes		source	
AMDPRFAR	0				0000				identical				identical		source	
AMDPRFCB	0				0000				identical				length		source	
AMDPRFDS	0				0000				identical				length		source	
AMDPRFLT	0				0000				identical				length		source	
AMDPRFMG	0				0000				identical				text		source	
AMDPRFMT	0				0000				identical				no-pair		source	
